,2015,2016,2017,2018,2019,2020,2021,2022
Belgium,9,10,12,15,16,14,14,14
Bulgaria,22,23,23,23,23,23,24,24
Czechia,18,14,11,16,12,10,11,11
Denmark,4,4,5,5,6,9,5,7
Germany,7,7,8,10,11,5,6,6
Estonia,5,5,4,4,4,3,3,3
Ireland,3,3,3,2,3,6,4,4
Greece,24,24,24,24,24,25,26,26
Spain,10,11,7,11,15,21,22,22
France,11,15,15,18,21,22,21,21
Croatia,14,17,17,14,10,11,13,13
Italy,23,21,21,19,22,20,19,20
Cyprus,17,22,22,20,20,19,20,19
Latvia,20,20,20,22,17,17,16,16
Lithuania,19,9,19,13,13,15,15,15
Luxembourg,13,12,13,12,9,12,9,10
Hungary,12,13,10,6,5,8,10,9
Malta,26,26,26,26,26,24,23,23
Netherlands,6,6,6,9,14,13,12,12
Austria,8,8,9,7,7,4,7,5
Poland,16,19,18,21,19,18,18,18
Portugal,25,25,25,25,25,26,25,25
Romania,27,27,27,27,27,27,27,27
Slovenia,15,16,14,17,18,16,17,17
Slovakia,21,18,16,8,8,7,8,8
Finland,1,1,1,1,1,1,1,1
Sweden,2,2,2,3,2,2,2,2
